customer_id,city,pincode,latitude,longitude,customer_rating
1,Jaipur,585175,13.285045,77.257049,4.2
2,Patna,549808,27.266233,82.028787,4.7
3,Lucknow,570912,12.574386,73.094732,4.1
4,Pune,529817,23.948262,78.943544,2.7
5,Hyderabad,558153,14.661837,76.791457,2.6
6,Delhi,507355,16.693884,77.997457,2.9
7,Patna,554008,21.054849,84.680312,2.9
8,Hyderabad,579887,25.933434,81.915366,3.1
9,Indore,518758,15.715015,82.206474,3.6
10,Bangalore,560981,26.419351,82.841774,2.9
11,Lucknow,545293,27.802427,76.786468,4.9
12,Pune,559878,25.524863,75.187472,3.5
13,Lucknow,513979,15.795291,81.150763,3.9
14,Pune,502875,27.647112,82.531677,3.2
15,Indore,589889,24.452986,87.577645,4.8
16,Lucknow,537512,24.411856,75.681894,4.5
17,Mumbai,583442,15.042112,76.010029,4.4
18,Chennai,582345,13.554623,82.03933,2.6
19,Lucknow,504373,21.273181,83.717756,2.7
20,Pune,542823,23.959694,74.810241,2.8
21,Patna,547953,20.493638,86.615792,4.6
22,Pune,563156,27.478145,76.722263,4.7
23,Hyderabad,561385,27.406293,74.252112,4.9
24,Jaipur,573048,17.852401,84.650911,2.5
25,Patna,516199,19.276576,82.765254,4.2
26,Indore,549941,25.158677,87.04467,2.8
27,Mumbai,561797,12.400394,86.147758,3.9
28,Indore,529015,22.362438,82.166463,3.7
29,Pune,585097,18.532734,74.236432,4.9
30,Pune,564569,13.857928,75.756801,3.8
31,Jaipur,559459,17.936184,87.190092,4.2
32,Patna,554935,21.397446,83.625586,4.7
33,Hyderabad,564139,21.850435,87.024849,3.2
34,Delhi,528477,19.094129,87.208883,4.6
35,Hyderabad,589873,17.877359,86.427139,4.1
36,Bangalore,552184,16.414103,87.49131,4.9
37,Lucknow,512015,22.6043,82.267271,4.0
38,Bangalore,506629,24.588713,75.897102,2.8
39,Indore,526896,13.097762,84.242518,3.0
40,Mumbai,530539,17.256953,74.360867,4.8
41,Bangalore,536342,25.734498,74.315008,2.8
42,Pune,522871,13.758822,85.863166,2.8
43,Delhi,531186,21.421647,72.252497,3.2
44,Chennai,597218,18.735369,73.818389,2.7
45,Lucknow,547453,20.211807,73.744864,3.8
46,Indore,505683,23.635888,86.540027,4.1
47,Pune,560036,22.293451,72.49841,5.0
48,Jaipur,555872,22.97756,79.844302,4.8
49,Hyderabad,510589,17.153789,74.373341,2.8
50,Indore,582978,21.365835,83.394445,3.5
51,Indore,569541,16.718364,80.088817,3.6
52,Hyderabad,585814,22.414667,84.303404,4.3
53,Mumbai,556370,19.224879,75.655897,3.3
54,Lucknow,552262,18.655834,73.521373,3.6
55,Pune,549060,27.25748,82.989137,3.7
56,Hyderabad,511188,13.491682,73.545031,4.3
57,Chennai,572924,12.959696,87.305994,3.9
58,Hyderabad,553845,17.657569,82.645448,4.4
59,Bangalore,537700,21.606561,77.626339,3.9
60,Mumbai,520280,22.507781,75.587918,2.8
61,Patna,548176,13.838165,76.457091,3.1
62,Jaipur,573526,27.592746,85.09483,4.0
63,Patna,503441,21.743919,82.5253,4.2
64,Bangalore,523647,16.372326,84.198552,4.8
65,Delhi,500800,14.902489,74.292024,4.1
66,Hyderabad,518595,23.855505,87.548965,2.7
67,Patna,528197,18.01911,79.258333,2.9
68,Pune,594581,17.190126,87.062519,4.0
69,Bangalore,520392,14.518558,81.885411,4.2
70,Pune,558079,22.591019,79.770587,3.6
71,Pune,528255,24.07909,73.82108,3.6
72,Pune,588895,22.85578,79.786124,4.2
73,Bangalore,528903,18.324214,81.589199,2.5
74,Pune,527686,24.277592,84.226574,3.2
75,Hyderabad,501013,19.958165,78.89048,2.8
76,Patna,592231,15.681771,80.939577,4.2
77,Delhi,509447,18.353139,83.872661,3.6
78,Lucknow,510205,25.79376,81.212147,3.9
79,Jaipur,537947,13.842774,72.333705,3.3
